#,Equation,activationEnergy,chemicalComposition,facet,reactionEnergy,,,,,,,868,CH4(g) + 5* -> C* + 4H*,,Co6La6,101,-1.537149169
11421,CH4(g) + 5* -> C* + 4H*,,Ag3W9,111,-3.335391295,,,,,,,43816,CH4(g) + 5* -> C* + 4H*,,Hg6Ta6,101,-1.281782033
87745,CH4(g) + 5* -> C* + 4H*,,Ag3Y9,111,-2.689810328,,,,,,,43817,CH4(g) + 5* -> C* + 4H*,,Nb6Rh6,101,-1.286141296
75585,CH4(g) + 5* -> C* + 4H*,,Ag3Zn9,111,6.618072235,,,,,,,43818,CH4(g) + 5* -> C* + 4H*,,Nb6Tc6,101,-2.025371465
5694,CH4(g) + 5* -> C* + 4H*,,Ag3Zr9,111,-3.056262633,,,,,,,44318,CH4(g) + 5* -> C* + 4H*,,Cu6Sc6,101,-1.458476841
59218,CH4(g) + 5* -> C* + 4H*,,Ag9Al3,111,5.554277877,,,,,,,44319,CH4(g) + 5* -> C* + 4H*,,Cu6Fe6,101,0.811318159
72019,CH4(g) + 5* -> C* + 4H*,,Ag9Au3,111,6.631745411,,,,,,,44362,CH4(g) + 5* -> C* + 4H*,,Ag6Cu6,101,4.342100795
62072,CH4(g) + 5* -> C* + 4H*,,Ag9Bi3,111,7.014728495,,,,,,,44363,CH4(g) + 5* -> C* + 4H*,,Al6Sn6,101,4.220104814
73022,CH4(g) + 5* -> C* + 4H*,,Ag9Co3,111,2.843287295,,,,,,,44364,CH4(g) + 5* -> C* + 4H*,,In6Nb6,101,-0.152736409
69895,CH4(g) + 5* -> C* + 4H*,,Ag9Cr3,111,0.935519078,,,,,,,44365,CH4(g) + 5* -> C* + 4H*,,In6Ni6,101,2.90132945
63564,CH4(g) + 5* -> C* + 4H*,,Ag9Cu3,111,5.637338585,,,,,,,44366,CH4(g) + 5* -> C* + 4H*,,Cd6Mo6,101,-0.667828314
44630,CH4(g) + 5* -> C* + 4H*,,Ag9Fe3,111,3.297362025,,,,,,,44367,CH4(g) + 5* -> C* + 4H*,,Hf6Re6,101,-3.686771214
63566,CH4(g) + 5* -> C* + 4H*,,Ag9Ga3,111,6.200881039,,,,,,,44368,CH4(g) + 5* -> C* + 4H*,,Fe6In6,101,2.365844109
72077,CH4(g) + 5* -> C* + 4H*,,Ag9Hf3,111,2.155888418,,,,,,,44389,CH4(g) + 5* -> C* + 4H*,,In6Y6,101,1.009422611
59866,CH4(g) + 5* -> C* + 4H*,,Ag9Hg3,111,10.68729877,,,,,,,44645,CH4(g) + 5* -> C* + 4H*,,In6Mn6,101,4.355998738
71313,CH4(g) + 5* -> C* + 4H*,,Ag9Ir3,111,-0.002927128,,,,,,,44738,CH4(g) + 5* -> C* + 4H*,,Ga6Pb6,101,6.766712242
44632,CH4(g) + 5* -> C* + 4H*,,Ag9La3,111,3.853374545,,,,,,,44927,CH4(g) + 5* -> C* + 4H*,,Hg6Y6,101,-0.327992143
70062,CH4(g) + 5* -> C* + 4H*,,Ag9Mo3,111,0.088667614,,,,,,,44928,CH4(g) + 5* -> C* + 4H*,,Au6Tl6,101,5.852628796
73517,CH4(g) + 5* -> C* + 4H*,,Ag9Nb3,111,0.951185216,,,,,,,44931,CH4(g) + 5* -> C* + 4H*,,Al6Ga6,101,3.971940531
72410,CH4(g) + 5* -> C* + 4H*,,Ag9Ni3,111,3.714715129,,,,,,,44954,CH4(g) + 5* -> C* + 4H*,,Fe6Tc6,101,-0.198986374
59214,CH4(g) + 5* -> C* + 4H*,,Ag9Os3,111,-1.020931394,,,,,,,44955,CH4(g) + 5* -> C* + 4H*,,Ga6Ti6,101,0.391038742
63606,CH4(g) + 5* -> C* + 4H*,,Ag9Pb3,111,7.089705654,,,,,,,44956,CH4(g) + 5* -> C* + 4H*,,Co6V6,101,-1.469422212
71464,CH4(g) + 5* -> C* + 4H*,,Ag9Pd3,111,5.242186705,,,,,,,44957,CH4(g) + 5* -> C* + 4H*,,Sc6Zn6,101,-1.396200595
70708,CH4(g) + 5* -> C* + 4H*,,Ag9Pt3,111,2.977722824,,,,,,,44958,CH4(g) + 5* -> C* + 4H*,,Cu6Ir6,101,0.233868647
71312,CH4(g) + 5* -> C* + 4H*,,Ag9Re3,111,-1.242804039,,,,,,,44959,CH4(g) + 5* -> C* + 4H*,,Ag6Nb6,101,-0.54187743
71849,CH4(g) + 5* -> C* + 4H*,,Ag9Rh3,111,1.779707772,,,,,,,44960,CH4(g) + 5* -> C* + 4H*,,Re6Rh6,101,-0.552494768
70661,CH4(g) + 5* -> C* + 4H*,,Ag9Ru3,111,0.235293707,,,,,,,44961,CH4(g) + 5* -> C* + 4H*,,Pd6Tc6,101,-0.594060973
70727,CH4(g) + 5* -> C* + 4H*,,Ag9Sc3,111,3.832084902,,,,,,,44962,CH4(g) + 5* -> C* + 4H*,,Pd6Y6,101,0.223735944
64189,CH4(g) + 5* -> C* + 4H*,,Ag9Sn3,111,6.832497259,,,,,,,45051,CH4(g) + 5* -> C* + 4H*,,Cu6Nb6,101,-0.643049084
73250,CH4(g) + 5* -> C* + 4H*,,Ag9Ta3,111,0.45962939,,,,,,,45147,CH4(g) + 5* -> C* + 4H*,,Al6Pb6,101,4.653901077
70660,CH4(g) + 5* -> C* + 4H*,,Ag9Tc3,111,-0.212398865,,,,,,,45254,CH4(g) + 5* -> C* + 4H*,,Pb6Zr6,101,0.402377183
72689,CH4(g) + 5* -> C* + 4H*,,Ag9Ti3,111,2.378406381,,,,,,,45436,CH4(g) + 5* -> C* + 4H*,,Bi6Pb6,101,7.610801886
