Catalyst,B.E.
Mn3Tc9,-1.301277084
Rh3Tc9,-0.800553471
Mn3Tc9,-1.251037387
Rh3Tc9,-0.131607042
La3Os9,-1.131152737
La3Os9,-0.436334812
Rh3Tc9,1.877042211
Ru9Sn3,-0.409656908
Ru9Zn3,0.300164149
Pb3Tc9,-0.874782589
Pb3Tc9,-1.048344278
Os9Ta3,-0.83546037
Cr3Os9,0.25186993
Cu3Tc9,0.285787559
Hf3Os9,-1.088248956
Os9Ta3,-1.039038529
Cr3Os9,-0.849684985
Hf3Os9,-1.120745335
Os9W3,-0.886310692
Os9Re3,-0.145874106
Os9Re3,-0.618358426
Au12,2.415031951
Cu3Tc9,-1.057254782
Al3Tc9,-1.025757877
Cu3Tc9,-1.371170068
Au12,2.619231618
Al3Tc9,-1.20452905
Al3Tc9,-0.648680479
Fe3Tc9,-1.006642152
Pt3Tc9,-1.363256862
Os9Tc3,-0.404191501
Fe3Tc9,-1.266271952
Os9Tc3,-0.582457359
Fe3Tc9,-1.069531742
Ga3Ru9,-0.488665433
Ga3Ru9,0.432232968
Os9Ti3,-0.940091271
Os9Ti3,-1.109762957
Os9Ru3,-0.410691893
Os9Ru3,-0.152646067
Os9Rh3,-0.108983905
Os9Rh3,-0.590951392
In3Ru9,0.372316766
In3Ru9,-0.398701741
Co3Os9,-0.253550641
In3Ru9,-0.609346832
Au12,3.705461217
Ir9Ni3,0.499044399
Co3Os9,-0.441797498
Co3Os9,0.056792335
Fe3Ir9,0.429132775
Fe3Ir9,0.466883536
Fe3Ir9,0.906982364
Fe3Os9,-0.208720974
Mn3Os9,-0.501571384
Tc9Zn3,-1.047292558
Fe3Os9,1.238008848
Mn3Os9,-0.41474394
Fe3Os9,-0.485732046
Ir9Mn3,1.499308883
Ir9Mn3,0.921829711
Tc9Zn3,-1.333662577
Ir9Pt3,2.510415063
Ag3Os9,3.838859449
Hf3Ir9,-0.33978338
Ga3Os9,-0.39511528
Ru9Ta3,-1.172748467
Os9Sn3,0.6278869
Cd3Os9,4.027982376
Cr3Ir9,-0.081700411
Cr3Ir9,-0.109863377
In3Os9,0.526827766
Mo3Ru9,-1.033856937
Au3Ir9,1.11850026
Cu3Os9,0.500007274
Hg3Os9,-0.352496403
Cu3Os9,3.123322232
Hg3Os9,-0.816541656
Cr3Ru9,-0.511603405
Hg3Os9,4.271663448
Cr3Ru9,-1.064714375
Cu3Ir9,0.928525344
Cu3Ir9,0.383602552
Cu3Ir9,0.328452152
Ir9Zn3,0.993131836
Hg3Ir9,1.544979109
Ru9Tc3,0.221980673
Ru9Tc3,-0.772596903
Os9Pd3,0.660734442
Os9Pd3,3.07781405
Cd3Ir9,1.03885771
Cd3Ir9,0.712302191
Cd3Ir9,0.160701998
Cd3Ir9,4.064088481
Ir9Pd3,1.441419657
Cd3Ir9,1.410920186
Ir9Pd3,0.348800689
Ir9Pd3,3.01686572
Al3Os9,-0.42261769
Al3Os9,-0.639823718
Al3Os9,-0.300012038
Al3Os9,0.442896702
Al3Os9,1.826847276
Os3Ru9,-0.404084424
Fe3Ru9,-0.362965983
Fe3Ru9,-0.535066965
Fe3Ru9,-0.373969858
Ir9Sn3,1.314739236
Ir9Sn3,0.716692068
Rh9Sc3,-0.353890578
Rh9Zr3,-0.582747704
Rh9Zr3,-0.494488125
Hf3Rh9,-0.565597729
Ir9Ru3,0.519533074
Rh9Ti3,-0.620937793
Ir9Ru3,0.560752334
Rh9Ti3,-0.618099237
Ir9Pb3,1.187589147
Cr3Rh9,-0.583270299
Mo3Rh9,-0.850366086
Cr3Rh9,-0.511783272
Re3Rh9,-0.542635675
Rh9Ta3,-0.802604801
