,B.E.,Element1,Ratio,Element2,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE'
999,-3.533602825,Hf,3.0,Tl,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71,81.0,204.38,13.0,6.0,1.56,1.44,577.0,1746.0,4.1,11.8,6.11,0.22
1000,0.667148165,Sn,3.0,Ag,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77
1001,-1.2869309709999999,Mo,3.0,Pb,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,,,,,,,,,,,,
1002,0.797628928,Sn,3.0,Ag,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77
1003,-1.545888786,Mo,3.0,Pb,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,,,,,,,,,,,,
1004,0.660454573,Sn,3.0,Ag,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77
1005,-2.905334965,Ta,3.0,Au,73.0,180.95,5.0,6.0,2.0,1.33,3290.0,5731.0,36.6,16.4,7.55,2.34,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74
1006,-3.39770169,Zr,3.0,Ga,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1007,0.759234073,Sn,3.0,Ag,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77
1008,-3.029554796,Zr,3.0,Ga,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1009,1.1646454609999999,Sn,3.0,Zr,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57
1010,-3.602589533,Zr,3.0,Cd,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1011,-2.731985388,La,3.0,Ga,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1012,-3.8132940810000004,Y,3.0,Au,39.0,88.91,3.0,5.0,2.12,1.11,1795.0,3618.0,11.4,4.47,6.22,0.96,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74
1013,-1.042776693,Os,3.0,Sc,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1014,0.770304889,Sn,3.0,Zr,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57
1015,-3.243870295,Zr,3.0,Cd,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1016,-3.104396851,La,3.0,Ga,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1017,-2.9177239,V,3.0,Zn,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35
1018,-0.385852253,Os,3.0,Sc,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1019,-2.73993982,V,3.0,Zn,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35
1020,0.856096668,Cu,3.0,Au,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74
1021,1.095050442,Ni,3.0,Re,28.0,58.69,10.0,4.0,1.49,1.75,1728.0,3186.0,17.0,8.9,7.64,1.92,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1022,0.998740647,Cu,3.0,Au,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74
1023,1.371340275,Cu,3.0,Au,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74
1024,-1.875224763,Mo,3.0,Au,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74,,,,,,,,,,,,
1025,-2.071285505,Mo,3.0,Au,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74,,,,,,,,,,,,
1026,0.671744032,Cu,3.0,Ta,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,73.0,180.95,5.0,6.0,2.0,1.33,3290.0,5731.0,36.6,16.4,7.55,2.34
1027,-3.3884473710000003,Y,3.0,Nb,39.0,88.91,3.0,5.0,2.12,1.11,1795.0,3618.0,11.4,4.47,6.22,0.96,41.0,92.91,5.0,5.0,1.98,1.23,2750.0,5017.0,30.0,8.57,6.76,2.07
1028,-1.05847358,Mo,3.0,Nb,41.0,92.91,5.0,5.0,1.98,1.23,2750.0,5017.0,30.0,8.57,6.76,2.07,,,,,,,,,,,,
1029,-3.182271749,Y,3.0,Nb,39.0,88.91,3.0,5.0,2.12,1.11,1795.0,3618.0,11.4,4.47,6.22,0.96,41.0,92.91,5.0,5.0,1.98,1.23,2750.0,5017.0,30.0,8.57,6.76,2.07
1030,1.493101286,Pt,3.0,Ir,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1031,0.933695235,Cu,3.0,Os,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92
1032,-1.52787104,Al,3.0,Re,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1033,-2.966224926,La,3.0,Sc,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1034,1.949346124,Pt,3.0,Ir,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1035,-1.7698716730000001,Al,3.0,Re,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1036,-3.367581274,Y,3.0,W,39.0,88.91,3.0,5.0,2.12,1.11,1795.0,3618.0,11.4,4.47,6.22,0.96,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23
1037,-2.8923540460000003,La,3.0,Sc,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1038,1.008761783,Pt,3.0,Ir,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1039,-0.8945764209999999,Al,3.0,Re,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1040,-3.255897455,La,3.0,Sc,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1041,1.265551803,Pt,3.0,Ir,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1042,0.451250052,Ga,3.0,Cu,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31
1043,-0.95374744,Al,3.0,Re,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1044,-3.249448901,La,3.0,Sc,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1045,0.821994545,In,3.0,V,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38
1046,-1.857151506,Al,3.0,Os,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92
1047,0.41150741799999996,Rh,3.0,Ni,45.0,102.91,9.0,5.0,1.73,1.45,2237.0,3968.0,26.6,12.4,7.46,1.99,28.0,58.69,10.0,4.0,1.49,1.75,1728.0,3186.0,17.0,8.9,7.64,1.92
1048,-0.255918303,Ru,3.0,La,44.0,101.07,8.0,5.0,1.78,1.42,2607.0,4423.0,38.6,12.1,7.36,2.58,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7
1049,0.374854772,In,3.0,Cd,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1050,1.7142024880000002,Pt,3.0,Ga,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1051,-2.607549635,V,3.0,Zr,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57
1052,-2.518945695,V,3.0,Zr,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57
1053,-2.534533873,V,3.0,Tl,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,81.0,204.38,13.0,6.0,1.56,1.44,577.0,1746.0,4.1,11.8,6.11,0.22
1054,0.49617931200000004,In,3.0,Cd,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1055,0.20518308600000001,Rh,3.0,Ti,45.0,102.91,9.0,5.0,1.73,1.45,2237.0,3968.0,26.6,12.4,7.46,1.99,22.0,47.87,4.0,4.0,1.76,1.32,1941.0,3560.0,14.2,4.51,6.83,1.93
1056,0.548370066,In,3.0,Cd,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1057,-0.386701112,Re,3.0,Cr,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58,24.0,52.0,6.0,4.0,1.66,1.56,2180.0,2944.0,21.0,7.15,6.77,3.2
1058,-2.58515902,Nb,3.0,Tl,41.0,92.91,5.0,5.0,1.98,1.23,2750.0,5017.0,30.0,8.57,6.76,2.07,81.0,204.38,13.0,6.0,1.56,1.44,577.0,1746.0,4.1,11.8,6.11,0.22
1059,0.589109181,In,3.0,Cd,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1060,-0.352314358,Re,3.0,Cr,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58,24.0,52.0,6.0,4.0,1.66,1.56,2180.0,2944.0,21.0,7.15,6.77,3.2
1061,1.4624837169999998,Ir,3.0,Tc,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28,,,,,,,,,,,,
1062,-2.405357216,Nb,3.0,Tl,41.0,92.91,5.0,5.0,1.98,1.23,2750.0,5017.0,30.0,8.57,6.76,2.07,81.0,204.38,13.0,6.0,1.56,1.44,577.0,1746.0,4.1,11.8,6.11,0.22
1063,1.104268842,Ir,3.0,Tc,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28,,,,,,,,,,,,
1064,0.8317868340000001,Cu,3.0,La,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7
1065,0.20385530699999999,Ir,3.0,Tc,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28,,,,,,,,,,,,
1066,-0.537453675,Cu,3.0,La,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7
1067,0.226406605,Ir,3.0,Tc,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28,,,,,,,,,,,,
1068,0.6713710999999999,Cu,3.0,Mo,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,,,,,,,,,,,,
1069,-0.791513033,Re,3.0,Tc,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58,,,,,,,,,,,,
1070,1.089921368,Sn,3.0,Hf,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71
1071,1.022843674,Pb,3.0,Ag,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77
1072,0.318428975,Ru,3.0,Re,44.0,101.07,8.0,5.0,1.78,1.42,2607.0,4423.0,38.6,12.1,7.36,2.58,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1073,-1.346390838,Re,3.0,Tc,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58,,,,,,,,,,,,
1074,0.673331408,Sn,3.0,Hf,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71
1075,0.833422102,Zn,3.0,Ir,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1076,0.600613474,Sn,3.0,Al,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8
1077,-0.22267143399999997,Ru,3.0,Re,44.0,101.07,8.0,5.0,1.78,1.42,2607.0,4423.0,38.6,12.1,7.36,2.58,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1078,-0.762481616,Re,3.0,Tc,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58,,,,,,,,,,,,
1079,0.7042967379999999,Zn,3.0,Ir,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1080,0.810244125,Tl,3.0,Hg,81.0,204.38,13.0,6.0,1.56,1.44,577.0,1746.0,4.1,11.8,6.11,0.22,,,,,,,,,,,,
1081,-0.448913003,Ru,3.0,Ga,44.0,101.07,8.0,5.0,1.78,1.42,2607.0,4423.0,38.6,12.1,7.36,2.58,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1082,2.366399766,Pd,3.0,Hf,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71
1083,-0.459626805,Ru,3.0,Re,44.0,101.07,8.0,5.0,1.78,1.42,2607.0,4423.0,38.6,12.1,7.36,2.58,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1084,-1.278654084,Re,3.0,Tc,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58,,,,,,,,,,,,
1085,0.9643591990000001,Zn,3.0,Ir,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1086,0.877519782,Sn,3.0,Ti,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,22.0,47.87,4.0,4.0,1.76,1.32,1941.0,3560.0,14.2,4.51,6.83,1.93
1087,0.73912486,Sn,3.0,Al,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8
1088,1.8910402919999998,Pd,3.0,Hf,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71
1089,-0.8670091129999999,Ru,3.0,Re,44.0,101.07,8.0,5.0,1.78,1.42,2607.0,4423.0,38.6,12.1,7.36,2.58,75.0,186.21,7.0,6.0,1.88,1.46,3459.0,5869.0,60.4,20.8,7.83,2.58
1090,0.926166389,Zn,3.0,Ir,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35,77.0,192.22,9.0,6.0,1.8,1.55,2719.0,4701.0,41.1,22.5,8.97,2.28
1091,-0.539121053,Pd,3.0,Hf,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71
1092,-0.334850228,Ni,3.0,Sc,28.0,58.69,10.0,4.0,1.49,1.75,1728.0,3186.0,17.0,8.9,7.64,1.92,21.0,44.96,3.0,4.0,1.84,1.2,1814.0,3109.0,14.1,2.99,6.56,1.2
1093,0.9819236029999999,Cu,3.0,Zn,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35
1094,-2.834940612,V,3.0,Cd,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1095,-0.49994332700000005,Sn,3.0,Al,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,13.0,26.98,13.0,3.0,1.18,1.47,933.0,2792.0,10.8,2.7,5.99,0.8
1096,-0.39134051700000005,Pd,3.0,Hf,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34,72.0,178.49,4.0,6.0,2.08,1.23,2506.0,4876.0,27.2,13.3,6.83,1.71
1097,0.980518135,Cu,3.0,Zn,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35
1098,-2.8707599089999998,V,3.0,Cd,23.0,50.94,5.0,4.0,1.71,1.45,2183.0,3680.0,21.5,6.0,6.75,2.38,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
1099,0.7612221370000001,Cu,3.0,Zn,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35
1100,-1.39536126,Cr,3.0,Hg,24.0,52.0,6.0,4.0,1.66,1.56,2180.0,2944.0,21.0,7.15,6.77,3.2,,,,,,,,,,,,
1101,0.862151745,Cu,3.0,Zn,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35
1102,-3.07161897,La,3.0,Os,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92
1103,-1.891640711,Cr,3.0,Hg,24.0,52.0,6.0,4.0,1.66,1.56,2180.0,2944.0,21.0,7.15,6.77,3.2,,,,,,,,,,,,
1104,-2.650335998,La,3.0,Os,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92
1105,1.230122989,Ga,3.0,Ta,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48,73.0,180.95,5.0,6.0,2.0,1.33,3290.0,5731.0,36.6,16.4,7.55,2.34
1106,0.6789345040000001,Ga,3.0,Ta,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48,73.0,180.95,5.0,6.0,2.0,1.33,3290.0,5731.0,36.6,16.4,7.55,2.34
1107,-0.037039455,Ga,3.0,Ta,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48,73.0,180.95,5.0,6.0,2.0,1.33,3290.0,5731.0,36.6,16.4,7.55,2.34
1108,0.828885964,Pb,3.0,Ga,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1109,-1.6284394169999998,Mo,3.0,Ga,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48,,,,,,,,,,,,
1110,0.7016598190000001,Pb,3.0,Hg,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,,,,,,,,,,,,
1111,0.985029102,Pb,3.0,Ga,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1112,-3.72774149,Ti,3.0,Hg,22.0,47.87,4.0,4.0,1.76,1.32,1941.0,3560.0,14.2,4.51,6.83,1.93,,,,,,,,,,,,
1113,-1.681128547,Mo,3.0,Ga,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48,,,,,,,,,,,,
1114,0.925940399,Cu,3.0,In,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3
1115,0.30020006899999996,Pb,3.0,Ga,82.0,207.2,14.0,6.0,1.54,1.55,601.0,2022.0,4.8,11.3,7.42,0.25,31.0,69.72,13.0,4.0,1.36,1.82,303.0,2477.0,5.6,5.91,6.0,0.48
1116,-3.732128102,Y,3.0,Cu,39.0,88.91,3.0,5.0,2.12,1.11,1795.0,3618.0,11.4,4.47,6.22,0.96,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31
1117,0.862032015,Sn,3.0,Mn,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,,,,,,,,,,,,
1118,-0.25999837800000003,Os,3.0,Pt,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48
1119,-0.607385843,Os,3.0,Pt,76.0,190.23,8.0,6.0,1.85,1.52,3306.0,5285.0,57.9,22.59,8.44,2.92,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48
