,Equation,Alloy,facet,reactionEnergy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
20,CH4(g) + 5* -> C* + 4H*,Cu3Zn,111,4.200650308,Cu,3,Zn,3.7,0.7,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,1.24,1.9,5.3,-2.67
21,CH4(g) + 5* -> C* + 4H*,Fe3Ga,111,0.706023981,Fe,3,Ga,2.4,-0.1,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6.0,0.48,0.15,1.83,5.54,-0.92
22,CH4(g) + 5* -> C* + 4H*,Fe3Zn,111,2.596220311,Fe,3,Zn,2.2,-0.4,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,0.15,1.83,5.54,-0.92
23,CH4(g) + 5* -> C* + 4H*,Ir3Os,111,0.579611048,Ir,3,Os,1.3,-0.8,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,76,190.23,8,6,1.85,1.52,3306,5285,57.9,22.59,8.44,2.92,1.57,2.2,6.63,-2.11
24,CH4(g) + 5* -> C* + 4H*,Ir3Re,111,1.011500337,Ir,3,Re,1.3,-1.4,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,1.57,2.2,6.63,-2.11
25,CH4(g) + 5* -> C* + 4H*,Ir3Rh,111,0.332722162,Ir,3,Rh,1.7,0.1,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.57,2.2,6.63,-2.11
26,CH4(g) + 5* -> C* + 4H*,Ir3Ru,111,0.887432481,Ir,3,Ru,1.7,-0.1,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.57,2.2,6.63,-2.11
27,CH4(g) + 5* -> C* + 4H*,Ir3V,111,0.107545784,Ir,3,V,1.5,-1.2,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6.0,6.75,2.38,1.57,2.2,6.63,-2.11
28,CH4(g) + 5* -> C* + 4H*,Ir3W,111,0.929206853,Ir,3,W,1.6,-1.6,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,74,183.84,6,6,1.93,1.4,3695,5828,52.3,19.3,7.86,3.23,1.57,2.2,6.63,-2.11
29,CH4(g) + 5* -> C* + 4H*,Ni3Pd,111,1.124333428,Ni,3,Pd,2.1,0.3,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,1.16,1.91,5.77,-1.29
30,CH4(g) + 5* -> C* + 4H*,Ni3Pt,111,1.109859965,Ni,3,Pt,2.2,0.5,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,1.16,1.91,5.77,-1.29
31,CH4(g) + 5* -> C* + 4H*,Ni3Rh,111,0.890777985,Ni,3,Rh,1.3,0.3,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.16,1.91,5.77,-1.29
32,CH4(g) + 5* -> C* + 4H*,Ni3Ru,111,0.525397672,Ni,3,Ru,1.5,0.2,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.16,1.91,5.77,-1.29
33,CH4(g) + 5* -> C* + 4H*,Ni3Sn,111,0.718615368,Ni,3,Sn,2.7,0.8,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,1.16,1.91,5.77,-1.29
34,CH4(g) + 5* -> C* + 4H*,Ni3Ti,111,0.966452027,Ni,3,Ti,2.1,-1.4,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,1.16,1.91,5.77,-1.29
35,CH4(g) + 5* -> C* + 4H*,Ni3Zn,111,0.049911121,Ni,3,Zn,2.2,0.3,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,1.16,1.91,5.77,-1.29
36,CH4(g) + 5* -> C* + 4H*,Pd3Pt,111,1.067650211,Pd,3,Pt,1.6,1.4,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,0.56,2.2,5.9,-1.83
37,CH4(g) + 5* -> C* + 4H*,Pd3Sn,111,2.735238781,Pd,3,Sn,4.4,1.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,0.56,2.2,5.9,-1.83
38,CH4(g) + 5* -> C* + 4H*,Pd3Ta,111,1.932640511,Pd,3,Ta,1.5,-2.3,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,73,180.95,5,6,2.0,1.33,3290,5731,36.6,16.4,7.55,2.34,0.56,2.2,5.9,-1.83
39,CH4(g) + 5* -> C* + 4H*,Pd3Ti,111,2.213429067,Pd,3,Ti,2.6,-1.2,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,0.56,2.2,5.9,-1.83
40,CH4(g) + 5* -> C* + 4H*,Pd3Tl,111,2.083766959,Pd,3,Tl,3.4,2.1,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,81,204.38,13,6,1.56,1.44,577,1746,4.1,11.8,6.11,0.22,0.56,2.2,5.9,-1.83
41,CH4(g) + 5* -> C* + 4H*,Pd3V,111,1.859205558,Pd,3,V,1.9,-1.7,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6.0,6.75,2.38,0.56,2.2,5.9,-1.83
42,CH4(g) + 5* -> C* + 4H*,Pd3Y,111,0.936676106,Pd,3,Y,3.6,-0.5,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,0.56,2.2,5.9,-1.83
