Alloy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
Ir3Ga,Ir,3,Ga,2.2,0.6,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,1.57,2.2,6.63,-2.11
Ni3In,Ni,3,In,2.3,0.4,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,1.16,1.91,5.77,-1.29
Au3Sn,Au,3,Sn,4.6,1.3,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,2.31,2.54,6.01,-3.56
Fe3Fe,Fe,3,Fe,1.3,-0.8,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,0.15,1.83,5.54,-0.92
Fe3Ni,Fe,3,Ni,1.5,-0.5,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,0.15,1.83,5.54,-0.92
Pd3Pt,Pd,3,Pt,1.6,1.4,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,0.56,2.2,5.9,-1.83
Pt3Pd,Pt,3,Pd,2,1.6,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,2.13,2.28,6.74,-2.25
Re3Co,Re,3,Co,0.6,-1,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,0.15,1.9,5.88,-0.51
Fe3Pd,Fe,3,Pd,2.3,-0.5,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,0.15,1.83,5.54,-0.92
Rh3Ir,Rh,3,Ir,1.4,-0.1,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,1.14,2.28,5.91,-1.73
Au3Pt,Au,3,Pt,2.8,1.9,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,2.31,2.54,6.01,-3.56
Au3Cu,Au,3,Cu,4.4,2,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,2.31,2.54,6.01,-3.56
Rh3Pt,Rh,3,Pt,1.7,0.4,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,1.14,2.28,5.91,-1.73
Rh3Ru,Rh,3,Ru,1.4,0.1,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.14,2.28,5.91,-1.73
Pt3Rh,Pt,3,Rh,1.7,0.7,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,2.13,2.28,6.74,-2.25
Ir3Os,Ir,3,Os,1.3,-0.8,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,76,190.23,8,6,1.85,1.52,3306,5285,57.9,22.59,8.44,2.92,1.57,2.2,6.63,-2.11
Ni3Rh,Ni,3,Rh,1.3,0.3,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.16,1.91,5.77,-1.29
Cu3Sb,Cu,3,Sb,4.2,1.2,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,1.24,1.9,5.3,-2.67
Ir3Rh,Ir,3,Rh,1.7,0.1,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.57,2.2,6.63,-2.11
Pd3Co,Pd,3,Co,2.1,0.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,0.56,2.2,5.9,-1.83
Fe3Zn,Fe,3,Zn,2.2,-0.4,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,0.15,1.83,5.54,-0.92
Ni3Pd,Ni,3,Pd,2.1,0.3,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,1.16,1.91,5.77,-1.29
Au3Sb,Au,3,Sb,4.3,1.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,2.31,2.54,6.01,-3.56
Cu3In,Cu,3,In,4,1,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,1.24,1.9,5.3,-2.67
Cu3Ge,Cu,3,Ge,3.5,0.7,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,1.24,1.9,5.3,-2.67
Au3Pb,Au,3,Pb,4.6,1.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,82,207.2,14,6,1.54,1.55,601,2022,4.8,11.3,7.42,0.25,2.31,2.54,6.01,-3.56
Re3Ru,Re,3,Ru,0.9,-0.9,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,0.15,1.9,5.88,-0.51
Cu3Ni,Cu,3,Ni,1.9,0.5,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,1.24,1.9,5.3,-2.67
Ru3Re,Ru,3,Re,1.2,-1.4,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,1.05,2.2,5.73,-1.41
Pd3Ni,Pd,3,Ni,1.7,1.1,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,0.56,2.2,5.9,-1.83
Ni3Ir,Ni,3,Ir,1.1,0,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,1.16,1.91,5.77,-1.29
Fe3Rh,Fe,3,Rh,1.4,-0.4,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,0.15,1.83,5.54,-0.92
Ru3Rh,Ru,3,Rh,1.5,0.2,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.05,2.2,5.73,-1.41
Ni3Ru,Ni,3,Ru,1.5,0.2,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.16,1.91,5.77,-1.29
Cu3Sn,Cu,3,Sn,3.9,0.9,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,1.24,1.9,5.3,-2.67
Ru3Pt,Ru,3,Pt,2.1,0.2,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,1.05,2.2,5.73,-1.41
Ru3Ge,Ru,3,Ge,2.2,0.4,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,1.05,2.2,5.73,-1.41
Co3Ru,Co,3,Ru,1.4,-0.1,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,0.66,1.88,5.76,-1.17
Ni3Cu,Ni,3,Cu,1.6,0.2,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,1.16,1.91,5.77,-1.29
Pt3Au,Pt,3,Au,2.2,1.8,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,2.13,2.28,6.74,-2.25
Cu3Cd,Cu,3,Cd,3.8,1.1,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,48,112.41,12,5,1.61,1.46,594,1040,6.2,8.69,8.99,0.2,1.24,1.9,5.3,-2.67
