Alloy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
Pd3Ge,Pd,3,Ge,4,1.4,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,0.56,2.2,5.9,-1.83
Pd3In,Pd,3,In,3.5,1.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,0.56,2.2,5.9,-1.83
Pd3Pb,Pd,3,Pb,4.4,2,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,82,207.2,14,6,1.54,1.55,601,2022,4.8,11.3,7.42,0.25,0.56,2.2,5.9,-1.83
Pd3Sb,Pd,3,Sb,4.2,1.7,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,0.56,2.2,5.9,-1.83
Pd3Sn,Pd,3,Sn,4.4,1.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,0.56,2.2,5.9,-1.83
Pd3Tl,Pd,3,Tl,3.4,2.1,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,81,204.38,13,6,1.56,1.44,577,1746,4.1,11.8,6.11,0.22,0.56,2.2,5.9,-1.83
Pd3Zn,Pd,3,Zn,3.4,1.5,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,0.56,2.2,5.9,-1.83
Pt3Ag,Pt,3,Ag,2.4,1.9,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,47,107.87,11,5,1.65,1.42,1235,2435,11.3,10.5,7.58,0.77,2.13,2.28,6.74,-2.25
Pt3Co,Pt,3,Co,2.2,0.8,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,2.13,2.28,6.74,-2.25
Pt3Cu,Pt,3,Cu,2.6,1.5,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,2.13,2.28,6.74,-2.25
Pt3Ga,Pt,3,Ga,2.9,2.3,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,2.13,2.28,6.74,-2.25
Pt3Ge,Pt,3,Ge,3.4,1.1,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,2.13,2.28,6.74,-2.25
